timestamp,best_bid,best_ask,spread,mid_price,imbalance
2026-03-11 17:48:58,70843.83,70843.84,0.00999999999476131,70843.83499999999,0.6954459406146496
2026-03-11 17:48:59,70843.83,70843.84,0.00999999999476131,70843.83499999999,0.575027288628204
2026-03-11 17:49:01,70843.83,70843.84,0.00999999999476131,70843.83499999999,0.662326153142465
2026-03-11 17:49:02,70847.61,70847.62,0.00999999999476131,70847.61499999999,0.8018536273569831
2026-03-11 17:49:03,70838.87,70838.88,0.010000000009313226,70838.875,-0.9976539041777429
2026-03-11 17:49:04,70824.0,70824.01,0.00999999999476131,70824.005,-0.9985594097662684
2026-03-11 17:49:05,70817.12,70817.13,0.010000000009313226,70817.125,0.9380793955499689
2026-03-11 17:49:07,70822.9,70822.91,0.010000000009313226,70822.905,0.11043333270884462
2026-03-11 17:49:08,70810.04,70810.05,0.010000000009313226,70810.045,-0.5723291914104894
2026-03-11 17:49:09,70810.04,70810.05,0.010000000009313226,70810.045,-0.16155445721725498
2026-03-11 17:49:10,70816.0,70816.01,0.00999999999476131,70816.005,-0.9950850585780775
2026-03-11 17:49:11,70807.5,70807.51,0.00999999999476131,70807.505,0.523535017155864
2026-03-11 17:49:13,70807.5,70807.51,0.00999999999476131,70807.505,-0.9982358441191863
2026-03-11 17:49:14,70812.46,70812.47,0.00999999999476131,70812.465,0.9942459115687462
2026-03-11 17:49:15,70814.99,70815.0,0.00999999999476131,70814.995,0.9982738970532956
2026-03-11 17:49:16,70829.34,70829.35,0.010000000009313226,70829.345,-0.9995987311456439
2026-03-11 17:49:18,70827.23,70827.24,0.010000000009313226,70827.235,0.44893960115123194
2026-03-11 17:49:19,70828.79,70828.8,0.010000000009313226,70828.795,-0.148496433921345
2026-03-11 17:49:20,70823.49,70823.5,0.00999999999476131,70823.495,-0.3186295911158386
2026-03-11 17:49:21,70833.76,70833.77,0.010000000009313226,70833.765,0.6371913375673363
2026-03-11 17:49:22,70819.63,70819.64,0.00999999999476131,70819.63500000001,-0.9989665173454052
2026-03-11 17:49:24,70807.89,70807.9,0.00999999999476131,70807.89499999999,0.5529912871267422
2026-03-11 17:49:25,70807.89,70807.9,0.00999999999476131,70807.89499999999,0.9218478854543319
2026-03-11 17:49:26,70811.53,70811.54,0.00999999999476131,70811.535,0.5990874153747306
2026-03-11 17:49:27,70833.76,70833.77,0.010000000009313226,70833.765,-0.37951981588942074
2026-03-11 17:49:28,70833.76,70833.77,0.010000000009313226,70833.765,-0.25569509395750445
2026-03-11 17:49:30,70833.76,70833.77,0.010000000009313226,70833.765,-0.782108547037425
2026-03-11 17:49:31,70829.86,70829.87,0.00999999999476131,70829.86499999999,-0.013158399508957684
2026-03-11 17:49:32,70833.76,70833.77,0.010000000009313226,70833.765,-0.11498747548936271
2026-03-11 17:49:34,70836.99,70837.0,0.00999999999476131,70836.995,0.8786028759498233
2026-03-11 17:49:35,70836.99,70837.0,0.00999999999476131,70836.995,0.23519628496703035
2026-03-11 17:49:36,70836.99,70837.0,0.00999999999476131,70836.995,0.27022941866502564
2026-03-11 17:49:38,70836.99,70837.0,0.00999999999476131,70836.995,0.346713198781732
2026-03-11 17:49:39,70836.99,70837.0,0.00999999999476131,70836.995,0.36210719970075994
2026-03-11 17:49:40,70836.99,70837.0,0.00999999999476131,70836.995,0.9960003709800831
2026-03-11 17:49:42,70829.61,70829.62,0.00999999999476131,70829.61499999999,-0.7389713174634659
2026-03-11 17:49:43,70820.21,70820.22,0.00999999999476131,70820.215,-0.737146033412593
2026-03-11 17:49:44,70820.21,70820.22,0.00999999999476131,70820.215,0.4286360531446641
2026-03-11 17:49:45,70823.26,70823.27,0.010000000009313226,70823.265,0.4572924108445892
2026-03-11 17:49:47,70823.26,70823.27,0.010000000009313226,70823.265,0.4784662929138849
2026-03-11 17:49:48,70827.6,70827.61,0.00999999999476131,70827.60500000001,0.9993431541355781
2026-03-11 17:49:49,70827.6,70827.61,0.00999999999476131,70827.60500000001,0.86194351854221
2026-03-11 17:49:50,70834.57,70834.58,0.00999999999476131,70834.57500000001,0.21573511446748428
2026-03-11 17:49:51,70832.98,70832.99,0.010000000009313226,70832.985,-0.7022993828065014
2026-03-11 17:49:53,70832.98,70832.99,0.010000000009313226,70832.985,0.08693831038837047
2026-03-11 17:49:54,70832.8,70832.81,0.00999999999476131,70832.805,-0.775521186486283
2026-03-11 17:49:55,70829.67,70829.68,0.00999999999476131,70829.67499999999,-0.882767250525585
2026-03-11 17:49:56,70829.67,70829.68,0.00999999999476131,70829.67499999999,-0.1252518887554234
2026-03-11 17:49:57,70829.67,70829.68,0.00999999999476131,70829.67499999999,0.6262640019066426
2026-03-11 17:49:59,70843.99,70844.0,0.00999999999476131,70843.995,0.9926228621258123
2026-03-11 17:50:00,70847.48,70847.49,0.010000000009313226,70847.485,0.33693426455776065
2026-03-11 17:50:01,70880.8,70880.81,0.00999999999476131,70880.805,0.9979658908473494
2026-03-11 17:50:02,70894.94,70894.95,0.00999999999476131,70894.945,0.9993718183764062
2026-03-11 17:50:03,70894.94,70894.95,0.00999999999476131,70894.945,0.7358550964334303
2026-03-11 17:50:05,70909.53,70909.54,0.00999999999476131,70909.535,0.851277898125882
2026-03-11 17:50:06,70910.88,70910.89,0.00999999999476131,70910.88500000001,0.9981088268816751
2026-03-11 17:50:07,70920.95,70920.96,0.010000000009313226,70920.955,0.7758210251954822
2026-03-11 17:50:08,70920.95,70920.96,0.010000000009313226,70920.955,0.5569597991473465
2026-03-11 17:50:10,70920.95,70920.96,0.010000000009313226,70920.955,0.9928052150925257
2026-03-11 17:50:11,70922.0,70922.01,0.00999999999476131,70922.005,0.9957547767816715
